NRIC,PASSWORD,ROLE
S1234567A,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Applicant
T7654321B,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Applicant
S9876543C,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Applicant
T2345678D,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Applicant
S3456789E,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Applicant
T2109876H,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Officer
S6543210I,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Officer
T1234567J,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Officer
T2234567J,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Officer
T3234567J,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Officer
T4234567J,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Officer
T8765432F,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Manager
S5678901G,ff7bd97b1a7789ddd2775122fd6817f3173672da9f802ceec57f284325bf589f,Manager
T9876543A,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Manager
